"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"AYM00089834","D 47, AY","2021-01-02","6",,
"AYM00089834","D 47, AY","2021-01-05","6",,
"AYM00089834","D 47, AY","2021-01-06","6",,
"AYM00089834","D 47, AY","2021-01-07","-1",,
"AYM00089834","D 47, AY","2021-01-10","4",,
"AYM00089834","D 47, AY","2021-01-11","6",,
"AYM00089834","D 47, AY","2021-01-14","2",,
"AYM00089834","D 47, AY","2021-01-16","1",,
"AYM00089834","D 47, AY","2021-01-17","4",,
"AYM00089834","D 47, AY","2021-01-18","4",,
"AYM00089834","D 47, AY","2021-01-19","18",,
"AYM00089834","D 47, AY","2021-01-22","17",,
"AYM00089834","D 47, AY","2021-01-23","11",,
"AYM00089834","D 47, AY","2021-01-24","8",,
"AYM00089834","D 47, AY","2021-01-25","9",,
"AYM00089834","D 47, AY","2021-01-26","10",,
"AYM00089834","D 47, AY","2021-01-27","12",,
"AYM00089834","D 47, AY","2021-01-28","2",,
"AYM00089834","D 47, AY","2021-01-29","3",,
"AYM00089834","D 47, AY","2021-01-30","2",,
"AYM00089834","D 47, AY","2021-01-31","0",,
"AYM00089834","D 47, AY","2021-02-01","3",,
"AYM00089834","D 47, AY","2021-02-02","1",,
"AYM00089834","D 47, AY","2021-02-03","7",,
"AYM00089834","D 47, AY","2021-02-04","7",,
"AYM00089834","D 47, AY","2021-02-05","0",,
"AYM00089834","D 47, AY","2021-02-06","-3",,
"AYM00089834","D 47, AY","2021-02-07","-1",,
"AYM00089834","D 47, AY","2021-02-08","-7",,
"AYM00089834","D 47, AY","2021-02-09","-1",,
"AYM00089834","D 47, AY","2021-02-13","7",,
"AYM00089834","D 47, AY","2021-02-14","4",,
"AYM00089834","D 47, AY","2021-02-15","3",,
"AYM00089834","D 47, AY","2021-02-16","0",,
"AYM00089834","D 47, AY","2021-02-17","-5",,
"AYM00089834","D 47, AY","2021-02-18","-11",,
"AYM00089834","D 47, AY","2021-02-25","-10",,
"AYM00089834","D 47, AY","2021-02-26","-8",,
"AYM00089834","D 47, AY","2021-02-27","-10",,
"AYM00089834","D 47, AY","2021-03-03","-21",,
"AYM00089834","D 47, AY","2021-03-04","-21",,
"AYM00089834","D 47, AY","2021-03-05","-8",,
"AYM00089834","D 47, AY","2021-03-06","-5",,
"AYM00089834","D 47, AY","2021-03-07","-9",,
"AYM00089834","D 47, AY","2021-03-08","-3",,
"AYM00089834","D 47, AY","2021-03-09","-12",,
"AYM00089834","D 47, AY","2021-03-10","-3",,
"AYM00089834","D 47, AY","2021-03-11","4",,
"AYM00089834","D 47, AY","2021-03-14","-29",,
"AYM00089834","D 47, AY","2021-03-16","-14",,
"AYM00089834","D 47, AY","2021-03-18","-7",,
"AYM00089834","D 47, AY","2021-03-19","-10",,
"AYM00089834","D 47, AY","2021-03-20","-10",,
"AYM00089834","D 47, AY","2021-03-21","-15",,
"AYM00089834","D 47, AY","2021-03-22","-18",,
"AYM00089834","D 47, AY","2021-03-26","-25",,
"AYM00089834","D 47, AY","2021-03-27","-16",,
"AYM00089834","D 47, AY","2021-03-28","-13",,
"AYM00089834","D 47, AY","2021-03-29","-3",,
"AYM00089834","D 47, AY","2021-03-30","-14",,
"AYM00089834","D 47, AY","2021-03-31","-17",,
"AYM00089834","D 47, AY","2021-04-01","-14",,
"AYM00089834","D 47, AY","2021-04-02","-26",,
"AYM00089834","D 47, AY","2021-04-04","-28",,
"AYM00089834","D 47, AY","2021-04-06","-23",,
"AYM00089834","D 47, AY","2021-04-07","-19",,
"AYM00089834","D 47, AY","2021-04-08","-18",,
"AYM00089834","D 47, AY","2021-04-09","-27",,
"AYM00089734","DOME FUJI, AY","2021-01-02","-31",,
"AYM00089734","DOME FUJI, AY","2021-01-05","-28",,
"AYM00089734","DOME FUJI, AY","2021-01-06","-30",,
"AYM00089734","DOME FUJI, AY","2021-01-10","-26",,
"AYM00089734","DOME FUJI, AY","2021-01-11","-33",,
"AYM00089734","DOME FUJI, AY","2021-01-16","-24",,
"AYM00089734","DOME FUJI, AY","2021-01-17","-21",,
"AYM00089734","DOME FUJI, AY","2021-01-18","-15",,
"AYM00089734","DOME FUJI, AY","2021-01-19","-31",,
"AYM00089734","DOME FUJI, AY","2021-01-20","-35",,
"AYM00089734","DOME FUJI, AY","2021-01-21","-33",,
"AYM00089734","DOME FUJI, AY","2021-01-22","-25",,
"AYM00089734","DOME FUJI, AY","2021-01-23","-18",,
"AYM00089734","DOME FUJI, AY","2021-01-24","-25",,
"AYM00089734","DOME FUJI, AY","2021-01-25","-27",,
"AYM00089734","DOME FUJI, AY","2021-01-26","-23",,
"AYM00089734","DOME FUJI, AY","2021-01-27","-16",,
"AYM00089734","DOME FUJI, AY","2021-01-28","-21",,
"AYM00089734","DOME FUJI, AY","2021-01-29","-29",,
"AYM00089734","DOME FUJI, AY","2021-01-30","-30",,
"AYM00089734","DOME FUJI, AY","2021-01-31","-27",,
"AYM00089734","DOME FUJI, AY","2021-02-01","-33",,
"AYM00089734","DOME FUJI, AY","2021-02-02","-37",,
"AYM00089734","DOME FUJI, AY","2021-02-03","-37",,
"AYM00089734","DOME FUJI, AY","2021-02-04","-42",,
"AYM00089734","DOME FUJI, AY","2021-02-05","-45",,
"AYM00089734","DOME FUJI, AY","2021-02-06","-46",,
"AYM00089734","DOME FUJI, AY","2021-02-07","-44",,
"AYM00089734","DOME FUJI, AY","2021-02-08","-47",,
"AYM00089734","DOME FUJI, AY","2021-02-09","-41",,
"AYM00089734","DOME FUJI, AY","2021-02-14","-56",,
"AYM00089734","DOME FUJI, AY","2021-02-17","-49",,
"AYM00089734","DOME FUJI, AY","2021-02-18","-56",,
"AYM00089734","DOME FUJI, AY","2021-02-19","-54",,
"AYM00089734","DOME FUJI, AY","2021-02-22","-62",,
"AYM00089734","DOME FUJI, AY","2021-02-25","-69",,
"AYM00089734","DOME FUJI, AY","2021-02-26","-52",,
"AYM00089734","DOME FUJI, AY","2021-02-27","-62",,
"AYM00089734","DOME FUJI, AY","2021-02-28","-61",,
"AYM00089734","DOME FUJI, AY","2021-03-03","-51",,
"AYM00089734","DOME FUJI, AY","2021-03-04","-41",,
"AYM00089734","DOME FUJI, AY","2021-03-08","-39",,
"AYM00089734","DOME FUJI, AY","2021-03-11","-72",,
"AYM00089734","DOME FUJI, AY","2021-03-14","-44",,
"AYM00089734","DOME FUJI, AY","2021-03-15","-62",,
"AYM00089734","DOME FUJI, AY","2021-03-16","-57",,
"AYM00089734","DOME FUJI, AY","2021-03-18","-71",,
"AYM00089734","DOME FUJI, AY","2021-03-19","-61",,
"AYM00089734","DOME FUJI, AY","2021-03-20","-63",,
"AYM00089734","DOME FUJI, AY","2021-03-21","-71",,
"AYM00089734","DOME FUJI, AY","2021-03-22","-67",,
"AYM00089734","DOME FUJI, AY","2021-03-23","-69",,
"AYM00089734","DOME FUJI, AY","2021-03-25","-80",,
"AYM00089734","DOME FUJI, AY","2021-03-26","-80",,
"AYM00089734","DOME FUJI, AY","2021-03-27","-76",,
"AYM00089734","DOME FUJI, AY","2021-03-28","-62",,
"AYM00089734","DOME FUJI, AY","2021-03-29","-51",,
"AYM00089734","DOME FUJI, AY","2021-03-30","-73",,
"AYM00089734","DOME FUJI, AY","2021-04-01","-67",,
"AYM00089734","DOME FUJI, AY","2021-04-02","-63",,
"AYM00089734","DOME FUJI, AY","2021-04-03","-66",,
"AYM00089734","DOME FUJI, AY","2021-04-04","-72",,
"AYM00089734","DOME FUJI, AY","2021-04-05","-83",,
"AYM00089734","DOME FUJI, AY","2021-04-06","-84",,
"AYM00089734","DOME FUJI, AY","2021-04-07","-93",,
"AYM00089734","DOME FUJI, AY","2021-04-08","-90",,
"AYM00089734","DOME FUJI, AY","2021-04-09","-93",,
"AYM00089811","LAW DOME SUMMIT, AY","2021-01-01","18",,
